poi_type,,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante
1839,Normandie Sud,150.49,28.87,113.91,N/A,263.82,56.97,224.3,N/A,117.96,276.38,N/A,194.03,169.22,14.79,N/A,80.76,N/A,N/A,14.8,28.74,14.64,6.35,5.83,3.26,5.67,3.56,237.37,69.97,69.99,9.8,7.59,9.91,8.55,4.76,8.65,3.54,8.69,10.52,70.23,14.79,1.08,9.19,4.78,10.62,14.86,103.57,261.63,3.05,6.17,1.27,14.12,1.99,22.34,3.05,14.12,209.9,209.9,48.48,185.74,294.1,226.03,224.86,56.34,266.26,193.62,193.57,167.15,171.59,171.85,N/A,80.8,N/A,N/A,10.62,14.69,16.13,14.64,14.64,10.47,4.34,11.72,6.92,3.36,6.05,236.71,70.22,12.38,3.9,9.68,7.3,8.51,9.92,4.86,8.88,8.52,6.73,9.19,171.98,1.05,6.78,8.69,5.39,103.4,150.35,262.0,22.84,3.36,210.99,6.57,209.78,163.83,185.93,N/A,N/A,224.76,133.77,113.19,293.06,N/A,171.42,171.42,N/A,N/A,28.45,14.67,4.64,2.34,1.14,13.33,12.5,6.57,8.92,12.34,12.22,8.31,8.69,10.63,11.93,9.19,10.86,10.3,6.57,8.47,8.41,102.97,149.62,14.42,4.59,163.83
1840,Normandie Nord,150.2,28.58,113.62,N/A,263.54,57.96,224.01,N/A,117.67,276.09,N/A,193.75,168.93,14.55,N/A,80.48,N/A,N/A,14.51,28.45,14.36,6.07,5.54,1.84,5.39,2.52,237.08,69.68,69.7,10.56,8.32,10.0,8.31,4.11,8.42,3.38,8.46,10.6,69.94,14.55,1.18,9.32,4.13,10.33,14.57,103.29,261.34,3.44,7.1,1.37,15.11,1.87,23.33,3.98,15.11,209.61,209.61,48.19,185.46,293.81,225.74,224.57,57.33,265.97,193.33,193.28,166.86,171.3,171.57,N/A,80.51,N/A,N/A,10.33,14.4,15.85,14.36,14.36,9.05,3.24,10.3,6.63,2.26,5.76,236.42,69.93,12.14,4.22,9.45,7.06,8.22,9.69,5.44,8.65,8.29,6.58,9.32,171.69,1.15,6.61,8.46,5.34,103.12,150.06,261.71,23.83,2.26,210.7,7.35,209.49,163.54,185.64,N/A,N/A,224.47,133.48,112.91,292.77,N/A,171.13,171.13,N/A,N/A,28.17,14.38,4.24,2.26,1.81,13.25,13.11,7.35,9.48,12.11,12.25,9.09,8.46,10.4,12.46,9.32,10.89,10.38,7.35,8.23,8.12,102.69,149.33,15.41,5.58,163.54
1841,Rivière Salée Nord Ouest,150.45,28.84,113.87,N/A,263.79,61.22,224.26,N/A,117.92,276.35,N/A,194.0,169.19,11.88,N/A,80.73,N/A,N/A,14.77,28.71,14.61,6.32,5.79,4.93,5.64,3.28,237.33,69.93,69.96,7.98,5.87,7.32,5.64,0.99,5.74,2.39,5.78,7.92,70.19,11.88,4.55,6.64,0.79,10.59,14.82,103.54,261.6,7.0,10.42,4.74,18.37,5.46,26.59,7.31,18.37,209.86,209.86,48.44,185.71,294.07,226.0,224.82,60.59,266.22,193.59,193.54,167.11,171.55,171.82,N/A,80.77,N/A,N/A,10.59,14.65,16.1,14.61,14.61,12.15,4.29,13.4,6.88,3.39,6.02,236.68,70.18,9.46,3.07,6.77,4.38,5.32,7.01,2.99,5.97,5.61,3.64,6.64,171.94,4.44,3.82,5.78,2.66,103.37,150.31,261.96,27.09,3.39,210.96,6.07,209.75,163.8,185.89,N/A,N/A,224.72,133.73,113.16,293.02,N/A,171.39,171.39,N/A,N/A,28.42,14.63,4.61,3.51,5.08,10.58,10.43,6.07,6.81,9.43,9.58,7.81,5.78,7.72,9.78,6.64,8.21,7.7,6.07,5.56,5.22,102.94,149.59,18.67,8.84,163.8
1842,Ducos,154.19,32.58,117.61,N/A,267.53,64.73,228.0,N/A,121.66,280.08,N/A,197.74,172.92,12.43,N/A,84.47,N/A,N/A,18.5,32.44,18.35,10.06,9.53,9.56,9.38,7.56,241.07,73.67,73.7,8.76,7.55,7.87,6.19,6.14,6.29,7.57,6.33,8.47,73.93,12.43,8.29,7.19,6.15,14.32,18.56,107.28,265.34,10.72,13.92,8.48,21.87,9.2,30.09,10.81,21.87,213.6,213.6,52.18,189.45,297.8,229.73,228.56,64.1,269.96,197.32,197.27,170.85,175.29,175.56,N/A,84.5,N/A,N/A,14.32,18.39,19.84,18.35,18.35,16.7,8.63,17.95,10.62,7.82,9.75,240.41,73.92,10.01,5.91,7.32,4.93,2.89,7.56,5.31,6.52,6.16,3.37,7.19,175.68,8.18,3.18,6.33,3.92,107.11,154.05,265.7,30.6,7.82,214.7,8.17,213.48,167.53,189.63,N/A,N/A,228.46,137.47,116.9,296.76,N/A,175.13,175.13,N/A,N/A,32.16,18.37,8.35,7.88,8.95,11.13,10.98,8.17,7.36,9.98,10.13,9.59,6.33,8.27,10.33,7.19,8.76,8.25,8.17,6.11,2.8,106.68,153.33,22.17,12.35,167.53
1843,Logicoop,153.49,31.87,116.9,N/A,266.82,64.48,227.3,N/A,120.96,279.38,N/A,197.03,172.22,13.13,N/A,83.76,N/A,N/A,17.8,31.74,17.64,9.35,8.83,8.86,8.67,6.85,240.37,72.97,72.99,9.46,8.2,8.58,6.89,5.68,7.0,7.34,7.04,9.18,73.23,13.13,7.58,7.9,5.57,13.62,17.86,106.57,264.63,10.06,13.68,7.78,21.63,8.49,29.85,10.56,21.63,212.9,212.9,51.48,188.74,297.1,229.03,227.86,63.85,269.26,196.62,196.57,170.15,174.59,174.85,N/A,83.8,N/A,N/A,13.62,17.69,19.13,17.64,17.64,15.99,7.92,17.24,9.92,7.11,9.05,239.71,73.22,10.72,5.88,8.03,5.64,1.06,8.27,5.75,7.23,6.87,3.17,7.9,174.98,7.47,3.88,7.04,4.63,106.4,153.35,264.99,30.35,7.11,213.99,8.73,212.78,166.83,188.93,N/A,N/A,227.76,136.77,116.19,296.06,N/A,174.42,174.42,N/A,N/A,31.45,17.67,7.64,7.85,8.24,11.83,11.69,8.73,8.07,10.69,10.84,10.21,7.04,8.98,11.04,7.9,9.47,8.96,8.73,6.82,0.97,105.97,152.62,21.92,12.1,166.83
1844,Kaméré,153.3,31.68,116.72,N/A,266.63,64.29,227.11,N/A,120.77,279.19,N/A,196.84,172.03,13.48,N/A,83.57,N/A,N/A,17.61,31.55,17.45,9.16,8.64,8.67,8.48,6.66,240.18,72.78,72.8,9.81,8.54,8.92,7.24,5.49,7.34,7.16,7.38,9.52,73.04,13.48,7.39,8.24,5.38,13.43,17.67,106.38,264.44,9.87,13.49,7.59,21.44,8.3,29.66,10.37,21.44,212.71,212.71,51.29,188.55,296.91,228.84,227.67,63.66,269.07,196.43,196.38,169.96,174.4,174.66,N/A,83.61,N/A,N/A,13.43,17.5,18.94,17.45,17.45,15.8,7.74,17.05,9.73,6.93,8.86,239.52,73.03,11.06,5.74,8.37,5.98,0.78,8.61,5.66,7.57,7.21,3.01,8.24,174.79,7.28,4.22,7.38,4.97,106.21,153.16,264.81,30.16,6.93,213.8,8.74,212.59,166.64,188.74,N/A,N/A,227.57,136.58,116.0,295.87,N/A,174.23,174.23,N/A,N/A,31.26,17.48,7.45,7.7,8.05,12.18,12.03,8.74,8.41,11.03,11.18,10.49,7.38,9.32,11.38,8.24,9.81,9.3,8.74,7.16,0.77,105.78,152.43,21.73,11.91,166.64
1845,Tindu - Numbo - Koumourou,156.43,34.82,119.85,N/A,269.77,67.42,230.24,N/A,123.9,282.33,N/A,199.98,175.16,16.61,N/A,86.71,N/A,N/A,20.74,34.68,20.59,12.3,11.77,11.8,11.62,9.8,243.31,75.91,75.94,12.94,11.68,12.05,10.37,8.62,10.48,10.29,10.51,12.66,76.17,16.61,10.53,11.38,8.52,16.56,20.8,109.52,267.58,13.0,16.62,10.72,24.57,11.44,32.79,13.51,24.57,215.84,215.84,54.42,191.69,300.04,231.97,230.8,66.79,272.2,199.56,199.51,173.09,177.53,177.8,N/A,86.74,N/A,N/A,16.56,20.63,22.08,20.59,20.59,18.94,10.87,20.19,12.86,10.06,11.99,242.65,76.16,14.2,8.87,11.5,9.12,3.25,11.74,8.8,10.7,10.34,6.15,11.38,177.92,10.42,7.36,10.51,8.11,109.35,156.29,267.94,33.29,10.06,216.94,11.88,215.72,169.77,191.87,N/A,N/A,230.7,139.71,119.14,299.0,N/A,177.37,177.37,N/A,N/A,34.4,20.61,10.59,10.84,11.19,15.31,15.16,11.88,11.54,14.16,14.31,13.62,10.51,12.45,14.51,11.38,12.94,12.44,11.88,10.29,3.15,108.92,155.57,24.87,15.04,169.77
1901,Ouégoa village - Balagam - Paraoua - Tarap,125.78,238.07,231.92,N/A,2.71,321.88,155.78,N/A,235.97,57.94,N/A,72.1,96.96,275.96,N/A,248.23,N/A,N/A,257.43,237.93,257.58,262.56,262.13,264.94,261.97,263.66,29.24,196.8,196.3,272.29,270.24,271.4,269.72,266.2,269.83,266.33,269.86,272.01,196.13,275.96,264.99,270.73,266.09,256.82,257.62,162.5,154.44,267.46,271.08,265.18,279.03,265.9,287.25,267.97,279.03,153.82,153.82,217.75,178.1,31.86,157.51,41.39,321.25,3.16,72.39,72.51,100.26,95.93,95.98,N/A,248.27,N/A,N/A,256.82,257.61,259.34,257.58,257.58,265.84,263.5,264.67,261.49,263.92,262.23,29.31,195.85,273.55,267.43,270.85,268.47,269.63,271.09,267.36,270.06,269.69,267.99,270.73,96.4,264.88,268.02,269.86,266.75,162.68,201.11,154.8,287.75,263.92,152.73,270.44,153.94,102.77,178.38,N/A,N/A,41.53,133.16,231.2,30.81,N/A,94.96,95.64,N/A,N/A,237.65,253.21,264.45,265.99,265.65,274.66,274.51,270.44,270.89,273.52,273.66,272.18,269.86,271.8,273.86,270.73,272.29,271.79,270.44,269.64,269.53,163.37,201.64,279.33,269.5,102.77
1902,Pam - Tiari,140.28,252.56,246.41,N/A,17.57,336.38,170.27,N/A,250.46,72.44,N/A,86.6,111.45,290.46,N/A,262.73,N/A,N/A,271.93,252.43,272.08,277.05,276.62,279.43,276.47,278.16,43.74,211.3,210.79,286.79,284.73,285.9,284.22,280.69,284.32,280.83,284.36,286.5,210.62,290.46,279.48,285.22,280.59,271.32,272.11,177.0,168.84,281.96,285.58,279.68,293.53,280.39,301.75,282.46,293.53,168.32,168.32,232.24,192.6,35.8,172.0,55.89,335.75,18.17,86.88,87.01,114.75,110.43,110.47,N/A,262.76,N/A,N/A,271.32,272.1,273.83,272.08,272.08,280.34,278.0,279.17,275.98,278.42,276.73,43.8,210.34,288.04,281.93,285.35,282.96,284.12,285.59,281.85,284.55,284.19,282.48,285.22,110.89,279.37,282.51,284.36,281.24,177.17,215.6,169.2,302.25,278.42,167.22,284.93,168.44,117.27,192.88,N/A,N/A,56.02,147.66,245.7,34.76,N/A,109.46,110.14,N/A,N/A,252.14,267.71,278.95,280.49,280.14,289.16,289.01,284.93,285.39,288.01,288.16,286.68,284.36,286.3,288.36,285.22,286.79,286.28,284.93,284.14,284.03,177.87,216.14,293.82,284.0,117.27
1903,Bondé,123.42,235.7,229.55,N/A,11.81,319.52,153.41,N/A,233.6,55.26,N/A,69.73,94.59,273.59,N/A,245.86,N/A,N/A,255.07,235.57,255.22,260.19,259.76,262.57,259.61,261.3,26.88,194.44,193.93,269.92,267.87,269.04,267.35,263.83,267.46,263.97,267.5,269.64,193.76,273.59,262.62,268.36,263.73,254.46,255.25,160.14,151.79,265.1,268.72,262.82,276.66,263.53,284.88,265.6,276.66,151.46,151.46,215.38,175.73,42.06,155.14,39.03,318.89,14.18,70.02,70.14,97.89,93.57,93.61,N/A,245.9,N/A,N/A,254.46,255.24,256.97,255.22,255.22,263.48,261.14,262.31,259.12,261.56,259.87,26.94,193.48,271.18,265.07,268.49,266.1,267.26,268.73,264.99,267.69,267.33,265.62,268.36,94.03,262.51,265.65,267.5,264.38,160.31,198.74,152.16,285.39,261.56,150.36,268.07,151.57,100.41,176.02,N/A,N/A,39.16,130.8,228.84,41.02,N/A,92.59,93.28,N/A,N/A,235.28,250.85,262.09,263.62,263.28,272.29,272.15,268.07,268.53,271.15,271.3,269.82,267.5,269.44,271.5,268.36,269.93,269.42,268.07,267.28,267.17,161.01,199.28,276.96,267.14,100.41
2001,Saint Joseph Gossanah Takedji,N/A,N/A,N/A,29.57,N/A,N/A,N/A,30.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2002,Fayaoué,N/A,N/A,N/A,5.02,N/A,N/A,N/A,5.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2003,Mouli,N/A,N/A,N/A,19.28,N/A,N/A,N/A,20.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2101,Païta centre,141.17,19.55,104.59,N/A,254.51,70.82,214.98,N/A,108.64,267.06,N/A,184.72,159.9,24.9,N/A,71.44,N/A,N/A,1.79,19.42,1.66,11.5,11.07,13.88,10.91,12.6,228.05,60.65,60.67,21.23,19.18,20.35,18.66,15.14,18.77,15.27,18.81,20.95,60.91,24.9,13.93,19.67,15.03,5.77,1.85,94.26,252.31,16.4,20.02,14.12,27.97,14.84,36.19,16.91,27.97,200.58,200.58,39.16,176.43,284.78,216.71,215.54,70.19,256.94,184.3,184.25,157.83,162.27,162.53,N/A,71.48,N/A,N/A,5.77,1.7,3.48,1.66,1.66,10.66,12.44,10.16,10.43,12.87,11.17,227.39,60.9,22.49,16.38,19.8,17.41,18.57,20.03,16.3,19.0,18.64,16.93,19.67,162.66,13.82,16.96,18.81,15.69,94.08,141.03,252.68,36.69,12.87,201.67,19.38,200.46,154.51,176.61,N/A,N/A,215.44,124.45,103.87,283.74,N/A,162.1,162.1,N/A,N/A,19.14,4.48,13.39,14.93,14.59,23.6,23.45,19.38,19.83,22.46,22.6,21.12,18.81,20.74,22.8,19.67,21.23,20.73,19.38,18.58,18.47,93.66,140.3,28.27,18.44,154.51
2102,Scheffleras,143.42,21.8,106.84,N/A,256.75,71.97,217.23,N/A,110.89,269.31,N/A,186.97,162.15,26.05,N/A,73.69,N/A,N/A,1.95,21.67,1.96,12.64,12.21,15.02,12.06,13.75,230.3,62.9,62.92,22.38,20.32,21.49,19.81,16.28,19.91,16.42,19.95,22.09,63.16,26.05,15.07,20.81,16.18,6.91,1.9,96.51,254.56,17.55,21.17,15.27,29.12,15.98,37.34,18.05,29.12,202.83,202.83,41.41,178.67,287.03,218.96,217.79,71.34,259.19,186.55,186.5,160.08,164.52,164.78,N/A,73.73,N/A,N/A,6.91,1.83,1.05,1.96,1.96,11.42,13.59,10.95,11.58,14.01,12.32,229.64,63.15,23.63,17.52,20.94,18.55,19.71,21.18,17.44,20.14,19.78,18.07,20.81,164.91,14.96,18.1,19.95,16.83,96.33,143.28,254.93,37.84,14.01,203.92,20.52,202.71,156.76,178.86,N/A,N/A,217.69,126.7,106.12,285.99,N/A,164.35,164.35,N/A,N/A,21.39,6.44,14.54,16.08,15.73,24.75,24.6,20.52,20.98,23.6,23.75,22.27,19.95,21.89,23.95,20.81,22.38,21.87,20.52,19.73,19.62,95.9,142.55,29.41,19.59,156.76
2103,Nogouta-Les 3 Vallées,143.84,22.23,107.26,N/A,257.18,71.04,217.66,N/A,111.32,269.74,N/A,187.39,162.58,25.16,N/A,74.12,N/A,N/A,4.78,22.1,4.63,11.76,11.32,13.4,11.17,12.86,230.72,63.33,63.35,21.49,19.44,20.6,18.92,15.4,19.03,15.5,19.06,21.21,63.59,25.16,14.15,19.93,15.29,6.02,4.84,96.93,254.99,16.37,20.19,14.34,28.19,14.8,36.41,17.02,28.19,203.26,203.26,41.84,179.1,287.46,219.39,218.22,70.42,259.62,186.98,186.93,160.51,164.95,165.21,N/A,74.16,N/A,N/A,6.02,4.67,5.79,4.63,4.63,7.94,12.68,7.46,10.69,13.12,11.43,230.07,63.58,22.75,16.63,20.05,17.67,18.83,20.29,16.56,19.26,18.89,17.18,19.93,165.34,14.04,17.22,19.06,15.95,96.76,143.71,255.35,36.91,13.12,204.35,19.64,203.14,157.19,179.29,N/A,N/A,218.11,127.13,106.55,286.42,N/A,164.78,164.78,N/A,N/A,21.81,8.03,13.65,15.12,14.77,23.86,23.71,19.64,20.09,22.71,22.86,21.38,19.06,21.0,23.06,19.93,21.49,20.99,19.64,18.84,18.73,96.33,142.98,28.49,18.66,157.19
2104,Ondémia Port Laguerre,139.21,17.6,102.63,N/A,252.55,71.76,213.02,N/A,106.68,265.11,N/A,182.76,157.95,25.84,N/A,69.49,N/A,N/A,4.86,17.46,5.0,12.43,12.0,14.81,11.85,13.54,226.09,58.69,58.72,22.17,20.11,21.28,19.6,16.07,19.7,16.21,19.74,21.88,58.95,25.84,14.86,20.6,15.97,6.7,5.04,92.3,250.36,17.34,20.96,15.06,28.91,15.77,37.13,17.84,28.91,198.62,198.62,37.2,174.47,282.83,214.76,213.58,71.13,254.98,182.35,182.3,155.87,160.31,160.58,N/A,69.53,N/A,N/A,6.7,5.02,6.91,5.0,5.0,14.64,13.38,13.82,11.37,13.8,12.11,225.43,58.94,23.42,17.31,20.73,18.34,19.5,20.97,17.23,19.93,19.57,17.86,20.6,160.7,14.75,17.89,19.74,16.62,92.13,139.07,250.72,37.63,13.8,199.72,20.31,198.51,152.56,174.65,N/A,N/A,213.48,122.49,101.92,281.78,N/A,160.15,160.15,N/A,N/A,17.18,2.32,14.33,15.87,15.52,24.54,24.39,20.31,20.77,23.39,23.54,22.06,19.74,21.68,23.74,20.6,22.17,21.66,20.31,19.52,19.41,91.7,138.35,29.2,19.38,152.56
2105,N'Dé Naniouni,143.78,22.17,107.2,N/A,257.12,76.9,217.59,N/A,111.25,269.68,N/A,187.33,162.52,30.97,N/A,74.06,N/A,N/A,12.07,22.03,12.21,17.57,17.14,19.95,16.99,18.67,230.66,63.26,63.29,27.3,25.25,26.42,24.73,21.21,24.84,21.35,24.88,27.02,63.52,30.97,20.0,25.74,21.1,11.84,12.25,96.87,254.93,22.48,26.09,20.19,34.04,20.91,42.26,22.98,34.04,203.19,203.19,41.77,179.04,287.4,219.32,218.15,76.27,259.55,186.92,186.87,160.44,164.88,165.15,N/A,74.1,N/A,N/A,11.84,12.24,14.23,12.21,12.21,20.86,18.52,19.69,16.5,18.94,17.25,230.0,63.51,28.56,22.45,25.87,23.48,24.64,26.11,22.37,25.07,24.71,23.0,25.74,165.27,19.89,23.03,24.88,21.76,96.7,143.64,255.29,42.76,18.94,204.29,25.45,203.08,157.12,179.22,N/A,N/A,218.05,127.06,106.49,286.35,N/A,164.72,164.72,N/A,N/A,21.75,8.07,19.47,21.0,20.66,29.67,29.53,25.45,25.9,28.53,28.67,27.2,24.88,26.82,28.88,25.74,27.31,26.8,25.45,24.66,24.55,96.27,142.92,34.34,24.51,157.12
2106,Tamoa Bangou Saint Laurent,131.16,9.55,94.58,N/A,244.5,79.29,204.97,N/A,98.63,257.06,N/A,174.71,149.9,33.36,N/A,61.44,N/A,N/A,14.84,9.41,14.98,19.96,19.53,22.34,19.38,21.07,218.04,50.64,50.67,29.69,27.64,28.81,27.12,23.6,27.23,23.74,27.27,29.41,50.9,33.36,22.39,28.13,23.5,14.23,15.02,84.25,242.31,24.87,28.48,22.59,36.43,23.3,44.65,25.37,36.43,190.57,190.57,29.15,166.42,274.78,206.7,205.53,78.66,246.93,174.3,174.25,147.82,152.26,152.53,N/A,61.48,N/A,N/A,14.23,15.01,16.74,14.98,14.98,23.25,20.91,22.08,18.89,21.33,19.64,217.38,50.89,30.95,24.84,28.26,25.87,27.03,28.5,24.76,27.46,27.1,25.39,28.13,152.65,22.28,25.42,27.27,24.15,84.08,131.02,242.67,45.16,21.33,191.67,27.84,190.46,144.5,166.6,N/A,N/A,205.43,114.44,93.87,273.73,N/A,152.1,152.1,N/A,N/A,9.13,10.62,21.86,23.39,23.05,32.06,31.92,27.84,28.3,30.92,31.07,29.59,27.27,29.21,31.27,28.13,29.7,29.19,27.84,27.05,26.94,83.65,130.3,36.73,26.91,144.5
2107,Tontouta Tiaré,136.43,14.81,99.85,N/A,249.77,89.27,210.24,N/A,103.9,262.32,N/A,179.98,155.16,43.35,N/A,66.71,N/A,N/A,24.79,14.68,24.94,29.95,29.52,32.33,29.37,31.05,223.31,55.91,55.93,39.68,37.63,38.8,37.11,33.59,37.22,33.73,37.26,39.4,56.17,43.35,32.38,38.12,33.48,24.22,24.97,89.52,247.57,34.86,38.47,32.57,46.42,33.29,54.64,35.36,46.42,195.84,195.84,34.42,171.69,280.04,211.97,210.8,88.64,252.2,179.56,179.51,153.09,157.53,157.8,N/A,66.74,N/A,N/A,24.22,24.97,26.71,24.94,24.94,33.24,30.89,32.06,28.88,31.32,29.62,222.65,56.16,40.94,34.83,38.25,35.86,37.02,38.48,34.75,37.45,37.09,35.38,38.12,157.92,32.27,35.41,37.26,34.14,89.35,136.29,247.94,55.14,31.32,196.93,37.83,195.72,149.77,171.87,N/A,N/A,210.7,119.71,99.14,279.0,N/A,157.36,157.36,N/A,N/A,14.4,20.59,31.85,33.38,33.04,42.05,41.91,37.83,38.28,40.91,41.05,39.57,37.26,39.2,41.26,38.12,39.69,39.18,37.83,37.03,36.92,88.92,135.56,46.72,36.89,149.77
